tweets,id_str,len,date,source,likes,retweets,label
Never knew my ability to avoid people would come so in handy.  Find more introvert content on my blog: ￼… https://t.co/PMoKmvcrPM,1255200889683484672,129,2020-04-28 18:23:07,Buffer,3,0,4
"People tend to use the word #introvert and #shy interchangeably, or assume that being introverted means you only li… https://t.co/oTysGdBp6u",1255198897082941443,140,2020-04-28 18:15:12,Hootsuite Inc.,0,0,4
Did they miss any? #introvert https://t.co/6pGO9UOgSo,1255195496932614145,53,2020-04-28 18:01:41,Buffer,12,2,4
Ngl social distancing feels kinda good. #introvert,1255194743761326080,50,2020-04-28 17:58:41,Twitter for iPhone,0,0,4
One time my mum was stuck in a phone call but was too polite to put the phone down so this happened! All in a day's… https://t.co/CDRo6oiy5R,1255191767458209795,140,2020-04-28 17:46:52,Twitter Web App,34,4,4
"Think I need to draw a pic on how an #introvert feels, be right back... https://t.co/bHi7Yki1Ak",1255189956408020994,95,2020-04-28 17:39:40,Twitter Web App,0,0,4
"Tag that introvert! 😂
@aamir_khan #AamirKhan #quarantineLife #introvert #meme https://t.co/Q6uULAxAGq",1255188005754716162,101,2020-04-28 17:31:55,Twitter for Android,3,1,4
Excellent advice for any #business owner: play to your strengths and delegate the rest to a trusted core team - w/… https://t.co/CXvx2DKT2A,1255184709925195783,139,2020-04-28 17:18:49,CoSchedule,0,0,4
#Introvert or #extrovert - how you feel about: Speaking to an audience of 3000 people #networking #culture… https://t.co/6QrVhd3HNg,1255180486768578562,131,2020-04-28 17:02:02,Hootsuite Inc.,0,0,4
"Sometime, I think most of people is stupid #introvert",1255177777822593025,53,2020-04-28 16:51:16,Twitter Web App,0,0,4
How to fuck everything up with the word #introvert - a story by my dumb ass 💁🏼‍♀️,1255170554375671809,81,2020-04-28 16:22:34,Twitter for iPhone,0,0,4
#Introvert #Reading from @IntrovertDear - 5 Reasons Zoom Calls Are an Introvert’s Nightmare https://t.co/5K3ecF45sX,1255167898408140801,115,2020-04-28 16:12:01,Buffer,0,0,4
"@lauriehelgoe @susancain @livequiet @INFJ_Musings @Im_INFJ @IntrovertDear 

“Quiet people have the loudest minds.”… https://t.co/XBP8GdD8p1",1255167463672725507,139,2020-04-28 16:10:17,Hootsuite Inc.,1,0,4
"2020 = Introverts paradise 🤔😂
#COVID19 #workingfromhome #introvert #SocialDistancing #tuesdayvibes #coronavirus https://t.co/vdvCpU6gT9",1255167202795413505,135,2020-04-28 16:09:15,Twitter for Android,0,0,4
"Kind words from a true #entrepreneur, @johnleedumas, host of the award-winning podcast Entrepreneur On Fire. Thank… https://t.co/km5JwL7zUI",1255158928683470849,139,2020-04-28 15:36:22,CoSchedule,0,0,4
"Today's the day! The Introvert’s Guide to the Workplace is finally out!!

Hope you can stop by the virtual launch e… https://t.co/Q5rehXesEV",1255155126290886660,140,2020-04-28 15:21:16,Twitter Web App,2,0,4
"Is this true for you? 

#infj
#infjlife
#infjfriends
#infjconfessions
#infjquotes
#infjfeelings
#infjpersonality… https://t.co/C7KTT3TCV4",1255150099832770578,137,2020-04-28 15:01:18,LaterMedia,37,12,4
@kartha_tara I cannot bear the thought of re-entering the world of meetings and compulsory smiling. I met and talke… https://t.co/ov2jrXi6iN,1255148128514138113,140,2020-04-28 14:53:28,Twitter for Android,0,0,4
I'll start interacting and get myself out there. #introvert 😉 https://t.co/o9d3xRc5Sk,1255146468970655747,85,2020-04-28 14:46:52,Twitter for Android,0,0,4
The Quiet Ones by @DAbbohjustwrite https://t.co/snSui606oJ #Poetry #Introvert #PersonalGrowth #Humanity #SelfAwareness,1255142516132687872,118,2020-04-28 14:31:09,Twitter Web Client,1,0,4
If I die during this pandemic please know I died doing what I love - avoiding people.  #introvert,1255139436876066817,97,2020-04-28 14:18:55,Twitter for iPhone,0,0,4
"If not, you're seriously missing out. And you're making your #business a lot harder than it needs to be! #introvert… https://t.co/rYyWNC5bbl",1255135985370664966,140,2020-04-28 14:05:12,CoSchedule,0,0,4
"Are you making an impact at work, or would you as an #introvert like to make more impact? Podcast with… https://t.co/sAzEgd0WAk",1255134812257452035,127,2020-04-28 14:00:33,Buffer,0,0,4
"Why do people STILL ASK, “What aren’t you smiling?”
#nerd #nerdhumor #booknerd #introvert #introvertproblems… https://t.co/tcS3FIpt1d",1255127162962751488,133,2020-04-28 13:30:09,Hootsuite Inc.,0,1,4
"Forgiving is so simple...

#quotes #lifequotes #kindness #wisdom  #poetry #travel #coffee  #motivational… https://t.co/jfK7CEAB5g",1255120096445337601,129,2020-04-28 13:02:04,Twitter for Android,0,2,4
Feeling like an alien hearing people complain about how much they miss 'normal' life. It all felt fake to me anyway… https://t.co/MiLfr0V3Ca,1255114727371440128,140,2020-04-28 12:40:44,Twitter Web App,1,0,4
Thank goodness for being an #introvert and #teamaquarius where #selfisolation doesn't end with #coronavirus. I can… https://t.co/bxuqWxITL3,1255111111860531201,139,2020-04-28 12:26:22,Instagram,0,0,4
How could an #introvert make more use of #LinkedIn and still themselves https://t.co/GBWbAZsc6B with Podcast with @angusgrady,1255111020638547969,125,2020-04-28 12:26:00,Buffer,2,1,4
I’m ready to be part of society again but then again my #introvert comes out I just think this all wasn’t too bad... 🤷🏼‍♀️,1255110776769204226,122,2020-04-28 12:25:02,Twitter for iPhone,2,0,4
"the thing is, I’ve been asking for this for years #GrooverPR #introvert #personalbubble https://t.co/4zdCXdOgRA",1255109454120525825,111,2020-04-28 12:19:47,Twitter for iPhone,1,0,4
50-140 mm when people are scary 😨 #introvert @FujifilmEU https://t.co/Y8OTP3pie8,1255107188529528832,80,2020-04-28 12:10:47,Twitter for iPhone,0,0,4
"DID YOU KNOW?
.
.
.
#dreamstick #graphics #graphicdesign #graphicdesigner #graphiccontent #contentcreator #creative… https://t.co/wrCZhR0ix1",1255104314118270977,140,2020-04-28 11:59:21,Twitter for Android,0,0,4
The first requirement of #success is the ability to apply your physical and mental energies to one problem without… https://t.co/onRA5zdqup,1255091330822406144,139,2020-04-28 11:07:46,Buffer,1,0,4
@khatragirl @metalguru_nz Can't relate. I barely miss the people I do like #introvert,1255077631860658182,85,2020-04-28 10:13:20,Twitter for Android,2,0,4
"Isolation of a Self-confessed Introvert - Day 29-35 (week 5)

Week 5 has seen some weather changes and some emotion… https://t.co/GXdD17Fop4",1255073884660957186,140,2020-04-28 09:58:26,Twitter for Android,0,1,4
"Someone - Do you live without music?

Me - Do you live without breathing.
 
#music #introvert #musician
#MusicMonday #introvertlife.",1255072881979121666,132,2020-04-28 09:54:27,Twitter for Android,2,0,4
"The Social Challenge Of Highly Sensitive People - Sensitive Evolution https://t.co/lSZRo4Utko 

#hsp #introvert… https://t.co/FDWmV2KHVx",1255059312776486912,136,2020-04-28 09:00:32,Hootsuite Inc.,0,0,4
"I ... I may have actually said this to the SO the other day.

#introvert #socialdistancing https://t.co/sGZU02FiQ2",1255059256644173824,114,2020-04-28 09:00:19,SocialBee.io v2,6,0,4
"My mental health is, currently, the best it's ever been 🙂😀😄 #mentalhealth #LookAfterYourself #introvert",1255051467377049601,103,2020-04-28 08:29:22,Twitter Web App,0,0,4
Omegle and chat roulette would be litty in this day in age 😂 #introvert,1255049528887119874,71,2020-04-28 08:21:40,Twitter for iPhone,0,0,4
The benefits of online study help introverted students in advancing their academic career through a personalised se… https://t.co/y8hFLHo3rz,1255026915066261504,140,2020-04-28 06:51:48,Twitter Web App,0,0,4
New Blog Article https://t.co/KbgDtshPgo #toxicmasculinity #infp #infps #anarchist #anarchism #psychology #artist… https://t.co/47eZXyHjJJ,1255021796526604288,138,2020-04-28 06:31:28,Twitter Web App,0,0,4
"Bro you went mechanical 🔥🦾 @mattalston  sheeesh

#RuinKross #🖕🏾thesystem #mostfearedwehere #musicartist… https://t.co/JgD4FLoIfw",1255010304158728192,128,2020-04-28 05:45:48,Instagram,1,0,4
"5 days left and lockdown part-3 is going to start!

Here I'm overthinking my overthinking which I already overthoug… https://t.co/0DddyEuD9P",1255005417710764033,140,2020-04-28 05:26:23,Twitter for Android,0,0,4
"@ArissTenoh Good that we are just tweeting to each other. 😅 If we were, say, FaceTime’ing, I would definitely not b… https://t.co/TDsxlhgPhr",1255001823099916288,140,2020-04-28 05:12:06,Twitter for iPad,0,0,4
#QuarentineLife as an #introvert is #perfection,1255000947866177539,47,2020-04-28 05:08:37,Twitter for iPhone,0,0,4
our water graveyard #thesebluedepths #infj #introvert #selfcare #anxiety #mentalhealth #haiku #art #creative… https://t.co/cQcB7aDrC4,1254998847992090624,133,2020-04-28 05:00:16,Buffer,2,1,4
"Jokes on you quarantine. I'm USED to being locked up during my birthday.
He he he. #introvert",1254992161529094144,93,2020-04-28 04:33:42,Twitter for Android,0,0,4
I’ve been on like 5 or 6 video calls today. I’m drained. Lol #Introvert,1254991474833403904,71,2020-04-28 04:30:58,Twitter for iPhone,0,0,4
Really just opened a Twitter in 2020... took me a while #QuarantineLife #introvert #COVID19 #StayHome,1254990011965063173,101,2020-04-28 04:25:10,Twitter for iPhone,0,0,4
"Just stay away from influencer and there best life. Make you own.

#Motivation #introvert #Influencer",1254987312762630150,101,2020-04-28 04:14:26,Twitter for Android,2,0,4
"@authordavidv Well, yass, but without the cat. I live in a living-being–free environment. 😂😂
#introvert… https://t.co/2AnWTj6pI1",1254980587963781121,128,2020-04-28 03:47:43,Twitter for iPad,1,0,4
"@alison_mac86 A-ha 😀 Not the only one to buy a book just because of its cover! 📚😅
#book #books #booknerd… https://t.co/a5nbMWq8Jr",1254977500817604608,129,2020-04-28 03:35:27,Twitter for iPad,0,0,4
"@bellarariora Not every book has characters 😉. Think about all these nonfiction books that make us learn things, bu… https://t.co/SH41NSzbdh",1254973247692648449,140,2020-04-28 03:18:33,Twitter for iPad,0,0,4
"Forget the insanity of life right now and enjoy a good and awkward story!
#storytime #story #awkward #introvertlife… https://t.co/7J2XVGarqE",1254973023104446464,140,2020-04-28 03:17:39,Twitter Web App,0,0,4
"@ArissTenoh Actually, even text messages can take days before I reply. 😬
I think I’m even more introverted than you… https://t.co/5rc7l3UFwx",1254972198818906114,140,2020-04-28 03:14:23,Twitter for iPad,0,0,4
This quarantine really confirmed how pointless interactions with humans are if it ain’t about the money.. #introvert,1254954917707595776,116,2020-04-28 02:05:42,Twitter for iPhone,0,0,4
"#introvert please let quarantine be over so these people can leave
#extrovert please let quarantine be over so I can leave",1254949164724568065,122,2020-04-28 01:42:51,Twitter for Android,0,0,4
"Yes i am #introvert
I miss the outside world too.
Walking alone.
Seeing nature and breathing fresh air.
Looking up… https://t.co/KBf7VQzR6x",1254947368920702977,139,2020-04-28 01:35:43,Twitter for Android,2,0,4
She seems like the coolest #introvert to hang out with!🥰 https://t.co/41t3v7uRLX via @MichaelaChung1,1254943165896896512,100,2020-04-28 01:19:01,Buffer,0,0,4
Thanks for all the insights from #introvert folks to help me support my husband (an introvert) better in the Lockdo… https://t.co/CdsCgoPO93,1254941155848052738,140,2020-04-28 01:11:01,Twitter Web App,11,1,4
10 Ways to Care for the INFJ in Your Life https://t.co/m4G5EHqsCJ #INFJ #introvert #mentalhealth #love https://t.co/kZaZu8RTfx,1254936755406606341,126,2020-04-28 00:53:32,Buffer,2,3,4
"Can’t even lie - I kinda like this quarantine, contactless, social distance life. 🤷🏼‍♀️ #introvert #COVID19",1254931422231617536,107,2020-04-28 00:32:21,Twitter for iPhone,0,0,4
"I miss Level 4 already. 
#introvert",1254929195961966592,35,2020-04-28 00:23:30,Twitter Web App,0,0,4
"Always stay true to yourself and never deny or feel ashamed by your beliefs. 

Authenticity does make people feel c… https://t.co/w1g9uajeSO",1254929085999878145,140,2020-04-28 00:23:04,Twitter for Android,12,3,4
"The story behind the picture is on my WordPress site😁
https://t.co/btNay2ctyJ
.
.
#groupsforintroverts #group about… https://t.co/E29iCujI76",1254927228678389760,140,2020-04-28 00:15:41,Instagram,0,0,4
I need to start posting more of the beadwork I've done and currently am doing. Stay tuned #beadwork #beadaholique… https://t.co/P3PMkmJdQe,1254924571452424193,138,2020-04-28 00:05:07,Twitter for Android,0,0,4
"Are You An Introvert Or An Extrovert?

Source: https://t.co/OuWBGoS1KK

#introvert #extrovert #characteristics… https://t.co/kkOE7TCbMM",1254923545341198338,135,2020-04-28 00:01:03,Hootsuite Inc.,0,0,4
"There's a story behind this@ Penny Ross https://t.co/Q6S1ttlU61
.

#group #introvert #groupsforintroverts @ Great F… https://t.co/oSbQr1L5Ig",1254918187340255233,140,2020-04-27 23:39:45,Instagram,0,0,4
"Sometimes I gotta vibe alone.

#introvertlife #introvert #thoughts #introvertedthoughts https://t.co/GNudgmMnQn",1254900633452281861,111,2020-04-27 22:30:00,TweetDeck,12,8,4
When you see someone you knew from high school but don’t have to say hi because they don’t recognize you behind your mask 🤪 #introvert,1254881879678791681,134,2020-04-27 21:15:29,Twitter for iPhone,3,0,4
You know you’re a hard core introvert when you can’t handle the social expectations of a shelter in place order.… https://t.co/1MfLIPOi4m,1254880047678099457,137,2020-04-27 21:08:12,Twitter for iPhone,1,0,4
"Can an introvert be good at public speaking? 100% Yes. This week, we'll debunk myths around introverts and explore… https://t.co/tmavs2nfg4",1254878150108106757,139,2020-04-27 21:00:40,Hootsuite Inc.,1,1,4
"Fuck socializing, Covid-19 gives me an excuse.
#COVID19 #introvert #depression2020 #sleepy #TheKing #Backtobed https://t.co/qWVfL9UjSE",1254877930339082244,134,2020-04-27 20:59:47,Twitter for Android,0,0,4
"Jaime Masters, host of @EventualMillion, shares her strategies for moderating a panel with authenticity and effecti… https://t.co/ArsYOOyHAB",1254877885816549376,140,2020-04-27 20:59:37,CoSchedule,0,0,4
"Article by Sharon on how to make WFH work for you: How to Be Productive When Working From Home

Read the full artic… https://t.co/mz5XOU3jAK",1254874003359125511,140,2020-04-27 20:44:11,Missinglettr,0,0,4
"Is your #kid a natural #extrovert, or a quiet-loving #introvert? Here, 10 specific ways to care for each type. https://t.co/ROwnzOYm76",1254873365627711489,134,2020-04-27 20:41:39,CoSchedule,0,0,4
"At the end I don't matter , I'm just some matter.

#life #introvert #Sad",1254872021013413888,72,2020-04-27 20:36:18,Twitter for Android,0,0,4
"Thrilled to hear these words from Mark Anderson of @Execunet, a man who knows a thing or two about achieving busine… https://t.co/jc8unvSlKe",1254865061513801729,140,2020-04-27 20:08:39,CoSchedule,0,0,4
"It’s amazing how even in quarantine I feel like I don’t have enough time to do everything, and I still have feeling… https://t.co/HFxy5UFBHu",1254864067845435398,140,2020-04-27 20:04:42,Twitter for iPhone,20,0,4
"I’ve lost 25lbs since Feb soooooo, I’m thriving in this quarantine. 😂 #introvert",1254857246070038528,80,2020-04-27 19:37:36,Twitter for iPhone,0,0,4
"Grateful for my speaking experience with @Electrolux, and honored to receive this kind endorsement from Communicati… https://t.co/KjqEbN9xVN",1254857073805815808,140,2020-04-27 19:36:55,CoSchedule,1,0,4
I’m living for this flex from home content #introvert #stayhome,1254856905240928256,63,2020-04-27 19:36:14,Twitter for iPhone,0,0,4
This is the first time in my life that this song has EVER been relatable. Rewatching some childhood favorites.… https://t.co/0nmX6uv87U,1254854252100415488,135,2020-04-27 19:25:42,Twitter Web App,5,0,4
Finally feeding that creative craving.  Self love and self care first.  #feedyourfirefirst #LintonCreations5… https://t.co/garU8ELaoj,1254852785985581056,133,2020-04-27 19:19:52,Instagram,0,0,4
"Loving the newsreader effort on BBC.

“one day plans will be made and kept”.

Not on my watch!

#introvert",1254849157686329345,106,2020-04-27 19:05:27,Twitter for Android,1,0,4
"When introverts are able to manage social media without it being too loud for them, they’re able to communicate aut… https://t.co/jAbx7b8SmR",1254848134225825793,140,2020-04-27 19:01:23,LaterMedia,0,0,4
Kinda starting to miss having plans to cancel and making up excuses as to why I won’t be going out #COVID19… https://t.co/mt2DLDtFhQ,1254843139141050378,132,2020-04-27 18:41:32,Twitter for iPhone,0,0,4
"The Social Challenge Of Highly Sensitive People - Sensitive Evolution https://t.co/lSZRo4Utko 

#hsp #introvert… https://t.co/4YtQOFdp8W",1254832865394733057,136,2020-04-27 18:00:43,Hootsuite Inc.,2,0,4
Any introverts out there thinking to themselves during this confinement how they miss going out and doing things al… https://t.co/hOeEuTaZ2z,1254830247322759173,140,2020-04-27 17:50:19,Twitter for iPhone,2,0,4
"This is the man responsible for increasing @HubSpot's revenue 6000%, @Harvard professor @markroberge. Honored to ha… https://t.co/98c1rfY9Lu",1254828463162343431,140,2020-04-27 17:43:13,CoSchedule,0,0,4
"@melaniejane25 Depends a lot on whether they're intro or extroverted.
Had a Teams call with a group of engineers la… https://t.co/PKncTmAptf",1254826870220128257,140,2020-04-27 17:36:54,Twitter for Android,1,0,4
"Bring your sketchbook and Magcon everywhere. 
#sketchbook #journey #authenticity #bulletjournal #bujojunkies… https://t.co/vpt4tlIpDv",1254826581253435397,133,2020-04-27 17:35:45,LaterMedia,1,1,4
Are you an introvert or extrovert? #BTS #BTSARMY #bangtanboys #jungkoook #Kookie #introvert #Memes #DailyTweet… https://t.co/pzwNSDGTZD,1254825763456589824,135,2020-04-27 17:32:30,Twitter for Android,7,2,4
"The all-new https://t.co/VrgAJtSoik launches in May 🖤 Here's how it's shaping up ☁️ Well excited 🎉🎉🎉

#Monochrome… https://t.co/1mY3Hrj1ts",1254825067760017410,138,2020-04-27 17:29:44,Twitter Web App,36,2,4
I am feeling a tiny bit anxious about re-learning how to socialize when the world starts up again soon. It will be… https://t.co/bebGfWeJUO,1254824459678121987,139,2020-04-27 17:27:19,Twitter Web App,2,0,4
Disappointed to miss vacation this week but still enjoying #Introvert Wonderland + getting lots done.  I'm very for… https://t.co/nd6GKnrQRE,1254824157390520320,140,2020-04-27 17:26:07,Twitter Web App,0,0,4
"Is it possible to be successful in a home business if you are introverted?

Click Here To See Post:… https://t.co/lhnAEsJbKt",1254819177648590848,124,2020-04-27 17:06:20,The Social Jukebox,0,0,4
I can’t seem to relate to all the people that keep having social gatherings despite the #StayAtHome order. The… https://t.co/c8vqsiNsp2,1254818767600680961,135,2020-04-27 17:04:42,Twitter for iPhone,1,0,4
"Big mood!
#rap #hiphop #solo #single #lasvegashiphop #selflove #introvert #lasvegaslife  #medicalmarijuana… https://t.co/FRu4Fo20RX",1254812345617879040,131,2020-04-27 16:39:11,Instagram,0,0,4
I often think of myself as an #introvert - except when it comes to #music. Definitely an #extrovert then. #songwriting #producer #EDM,1254812339695529984,133,2020-04-27 16:39:09,Twitter for iPhone,0,0,4
My child hood friend is 100% #Extrovert. I'm an #introvert. The other day she spent over 10 minutes chatting about… https://t.co/ebigPVwzXg,1254812048170586114,139,2020-04-27 16:38:00,Twitter Web App,0,0,4
"Here are some helpful tips for those who are still under the Stay at Home order... 

https://t.co/VllWGvAvqM… https://t.co/0D8Kz4qHbE",1254806103554166785,133,2020-04-27 16:14:22,Twitter Web App,0,0,4
"You guys talk about social distancing, bitch please I been doing that shit ever since my birth.

#introvertlife #introvert #Showerthoughts",1254805610333274114,138,2020-04-27 16:12:25,Twitter for Android,1,1,4
#Introvert #Reading from @IntrovertDear - 10 Ways to Care for the INFJ in Your Life https://t.co/xVeNb6Mvmc,1254805506478215174,107,2020-04-27 16:12:00,Buffer,0,0,4
"@losapala @INF_club @JennGranneman @creativeintro @IntrovertdTeen 

Lovely blog from a teenager realising she was a… https://t.co/X0QH6y8QoW",1254805073890349056,140,2020-04-27 16:10:17,Hootsuite Inc.,7,1,4
"Let's bring out a more refreshed, excited, energetic version of yourself. #MindfulMonday #Introvert 🆚 #Extrovert https://t.co/RfnldrTnt2",1254803180157833216,136,2020-04-27 16:02:45,Hootsuite Inc.,1,1,4
Can’t be bothered to go for my daily walk today! #introvert #introverts #introvertlife #introvertproblems,1254801409234604032,105,2020-04-27 15:55:43,Twitter for iPhone,1,0,4
"From one determined, self-made man to another, thank you, @TomHopkinsSales, for these kind words. Honored to have t… https://t.co/Ys0LNrGBkR",1254801261859307520,140,2020-04-27 15:55:08,CoSchedule,0,0,4
Any other highly sensitive introverts out there that hate large group #videoconferencing? Isn't it an invasion of… https://t.co/vYziIRP10S,1254796957962448897,138,2020-04-27 15:38:02,Twitter for Android,1,1,4
"Awesome endorsement from @DanWaldo, @FortuneMagazine 100 business strategist and bestselling author. This is a guy… https://t.co/0xa8V8YmUY",1254795443306987521,139,2020-04-27 15:32:01,CoSchedule,0,0,4
"@emmapashmina @mrs_coyle Having seen this tweet and your reply Emma, my interest was piqued, and I have to say I ag… https://t.co/dClO61Gav2",1254795375384330242,140,2020-04-27 15:31:45,Twitter for Android,1,0,4
I’m withcha #introvert https://t.co/siP7QAVRam,1254794847573225473,46,2020-04-27 15:29:39,Twitter for iPhone,0,0,4
"@BeeswaxNunaya Baaahhahahahha, yeah like why are people pressed about lockdown 💅 I never leave my house anyway #introvert",1254793819918413831,121,2020-04-27 15:25:34,Twitter for Android,9,0,4
"@supermarkusa No.
In real life I'm a hermit.
And I just don't do ""people""
(Reasons)
#introvert",1254793380695101442,94,2020-04-27 15:23:49,Twitter for Android,0,0,4
"Just because we aren’t the loudest or most energetic doesn’t mean we’re distant, rude or withdrawn. 

#Introverts a… https://t.co/3muRDWjQ80",1254787964430716929,140,2020-04-27 15:02:18,SocialBee.io v2,8,1,4
"The Social Challenge Of Highly Sensitive People - Sensitive Evolution https://t.co/lSZRo4CRVO 

#hsp #introvert… https://t.co/TPNQZpO8sS",1254787562570305539,136,2020-04-27 15:00:42,Hootsuite Inc.,0,0,4
@AkashicSeer @DuganAmanda @CrippleInTime I feel guilty. 🤷🏾‍♀️🤦🏾‍♀️🤷🏾‍♀️ My life hasn't changed much #introvert #homebody,1254786836641099776,120,2020-04-27 14:57:49,Twitter for Android,2,0,4
Ignore all the shit &amp; follow yourself. #parents #selflove #god #blessed #life #destiny #mindthoughts #introvert… https://t.co/6JxONpEpst,1254777895643308033,140,2020-04-27 14:22:17,Twitter for Android,2,0,4
"Are you drowing in social media noise? I thought I was being an oversenstive #introvert, turns out that's not so… https://t.co/UNyJ5WAI4l",1254772395585372164,137,2020-04-27 14:00:26,Buffer,0,0,4
